 3050104 hu03050104.dly  34.25  -80.73
 3050105 hu03050105.dly  35.24  -81.82
 3050106 hu03050106.dly  34.47  -81.29
 3050107 hu03050107.dly  34.82  -81.92
 3050108 hu03050108.dly  34.62  -81.93
 3050109 hu03050109.dly  34.39  -82.00
 3050110 hu03050110.dly  33.88  -80.94
 3050111 hu03050111.dly  33.57  -80.43
 3050112 hu03050112.dly  33.32  -79.70
 3050201 hu03050201.dly  33.07  -79.98
 3050202 hu03050202.dly  32.78  -80.10
 3050203 hu03050203.dly  33.67  -81.16
 3050204 hu03050204.dly  33.56  -81.41
 3050205 hu03050205.dly  33.36  -80.52
 3050206 hu03050206.dly  32.94  -80.42
 3050207 hu03050207.dly  32.93  -80.88
 3050208 hu03050208.dly  32.59  -80.95
 3050209 hu03050209.dly  32.96  -79.56
 3050210 hu03050210.dly  32.32  -80.50
 3060101 hu03060101.dly  34.81  -82.86
 3060102 hu03060102.dly  34.72  -83.22
 3060103 hu03060103.dly  34.16  -82.57
 3060104 hu03060104.dly  34.15  -83.16
 3060105 hu03060105.dly  33.64  -82.68
 3060106 hu03060106.dly  33.32  -81.82
 3060107 hu03060107.dly  33.87  -82.06
 3060108 hu03060108.dly  33.14  -82.07
 3060109 hu03060109.dly  32.45  -81.27
 3060110 hu03060110.dly  32.25  -81.02
 3060201 hu03060201.dly  33.08  -82.47
 3060202 hu03060202.dly  32.44  -81.65
 3060203 hu03060203.dly  32.26  -81.90
 3060204 hu03060204.dly  31.73  -81.28
 3070101 hu03070101.dly  33.67  -83.46
 3070102 hu03070102.dly  32.70  -83.01
