                        Bioc   Bioc   PrePlt   Bioc   Bioc
R BELD4 name      Num    Type# Equip#   Days    App   Rate
 8Rice              44    186    800      4      1  5000.00
 8Rice_ir           45    186    800      4      1  5000.00
 8Rye               46    186    800      4      1  5000.00
 8Rye_ir            47    186    800      4      1  5000.00
 8SorghumGr         48    186    800      4      1  5000.00
 8SorghumGrr        49    186    800      4      1  5000.00
 8SorghumSi         50    186    800      4      1  5000.00
 8SorghumSiir       51    186    800      4      1  5000.00
 8Soybeans          52    186    800      4      1  5000.00
 8Soybeans_         53    186    800      4      1  5000.00
 8Wheat_Spr         54    186    800      4      1  5000.00
 8Wheat_Sprr        55    186    800      4      1  5000.00
 8Wheat_Win         56    186    800      4      1  5000.00
 8Wheat_Winr        57    186    800      4      1  5000.00
 8Other_Cro         58    186    800      4      1  5000.00
 8Other_Cro         59    186    800      4      1  5000.00
 8Canola            60    186    800      4      1  5000.00
 8Canola_ir         61    186    800      4      1  5000.00
 8Peas              62    186    800      4      1  5000.00
 8Peas_ir           63    186    800      4      1  5000.00
 9Hay               22    186    800      4      1  5000.00
 9Hay_ir            23    186    800      4      1  5000.00
 9Alfalfa           24    186    800      4      1  5000.00
 9Alfalfa_i         25    186    800      4      1  5000.00
 9Other_gra         26    186    800      4      1  5000.00
 9Other_gra         27    186    800      4      1  5000.00
 9Barley            28    186    800      4      1  5000.00
 9Barley_ir         29    186    800      4      1  5000.00
 9BeansEdib         30    186    800      4      1  5000.00
 9BeansEdib         31    186    800      4      1  5000.00
 9CornGrain         32    186    800      4      1  5000.00
 9CornGrain         33    186    800      4      1  5000.00
 9CornSilag         34    186    800      4      1  5000.00
 9CornSilag         35    186    800      4      1  5000.00
 9Cotton            36    186    800      4      1  5000.00
 9Cotton_ir         37    186    800      4      1  5000.00
 9Oats              38    186    800      4      1  5000.00
 9Oats_ir           39    186    800      4      1  5000.00
 9Peanuts           40    186    800      4      1  5000.00
 9Peanuts_i         41    186    800      4      1  5000.00
 9Potatoes          42    186    800      4      1  5000.00
 9Potatoes_         43    186    800      4      1  5000.00
 9Rice              44    186    800      4      1  5000.00
 9Rice_ir           45    186    800      4      1  5000.00
 9Rye               46    186    800      4      1  5000.00
 9Rye_ir            47    186    800      4      1  5000.00
 9SorghumGr         48    186    800      4      1  5000.00
 9SorghumGrr        49    186    800      4      1  5000.00
 9SorghumSi         50    186    800      4      1  5000.00
 9SorghumSiir       51    186    800      4      1  5000.00
 9Soybeans          52    186    800      4      1  5000.00
 9Soybeans_         53    186    800      4      1  5000.00
 9Wheat_Spr         54    186    800      4      1  5000.00
 9Wheat_Sprr        55    186    800      4      1  5000.00
 9Wheat_Win         56    186    800      4      1  5000.00
 9Wheat_Winr        57    186    800      4      1  5000.00
 9Other_Cro         58    186    800      4      1  5000.00
 9Other_Cro         59    186    800      4      1  5000.00
 9Canola            60    186    800      4      1  5000.00
 9Canola_ir         61    186    800      4      1  5000.00
 9Peas              62    186    800      4      1  5000.00
 9Peas_ir           63    186    800      4      1  5000.00
10Hay               22    186    800      4      1  5000.00
10Hay_ir            23    186    800      4      1  5000.00
10Alfalfa           24    186    800      4      1  5000.00
10Alfalfa_          25    186    800      4      1  5000.00
10Other_gr          26    186    800      4      1  5000.00
10Other_gr          27    186    800      4      1  5000.00
10Barley            28    186    800      4      1  5000.00
10Barley_i          29    186    800      4      1  5000.00
10BeansEdi          30    186    800      4      1  5000.00
10BeansEdi          31    186    800      4      1  5000.00
10CornGrai          32    186    800      4      1  5000.00
10CornGrai          33    186    800      4      1  5000.00
10CornSila          34    186    800      4      1  5000.00
10CornSila          35    186    800      4      1  5000.00
10Cotton            36    186    800      4      1  5000.00
10Cotton_i          37    186    800      4      1  5000.00
10Oats              38    186    800      4      1  5000.00
10Oats_ir           39    186    800      4      1  5000.00
10Peanuts           40    186    800      4      1  5000.00
10Peanuts_          41    186    800      4      1  5000.00
10Potatoes          42    186    800      4      1  5000.00
10Potatoes          43    186    800      4      1  5000.00
10Rice              44    186    800      4      1  5000.00
10Rice_ir           45    186    800      4      1  5000.00
10Rye               46    186    800      4      1  5000.00
10Rye_ir            47    186    800      4      1  5000.00
10SorghumG          48    186    800      4      1  5000.00
10SorghumGr         49    186    800      4      1  5000.00
10SorghumS          50    186    800      4      1  5000.00
10SorghumSir        51    186    800      4      1  5000.00
10Soybeans          52    186    800      4      1  5000.00
10Soybeans          53    186    800      4      1  5000.00
10Wheat_Sp          54    186    800      4      1  5000.00
10Wheat_Spr         55    186    800      4      1  5000.00
10Wheat_Wi          56    186    800      4      1  5000.00
10Wheat_Wir         57    186    800      4      1  5000.00
10Other_Cr          58    186    800      4      1  5000.00
10Other_Cr          59    186    800      4      1  5000.00
10Canola            60    186    800      4      1  5000.00
10Canola_i          61    186    800      4      1  5000.00
10Peas              62    186    800      4      1  5000.00
10Peas_ir           63    186    800      4      1  5000.00
